year,month,tokyo_mean,tokyo_high,tokyo_low,sapporo_mean,sapporo_high,sapporo_low,naha_mean,naha_high,naha_low
1994,1,5.5,16.8,-1.3,-4.7,2.6,-14,17.3,24.3,12
1994,2,6.6,16,-2.3,-1.3,7.4,-9.3,17.1,23.6,10.3
1994,3,8.1,18.7,2.3,-0.5,10.8,-9,17.1,24.5,11.2
1994,4,15.8,24.4,4.3,7,20.2,-1.2,22.4,28.3,16.6
1994,5,19.5,29.3,10.8,13.5,29.2,4.1,23.4,29.2,16.2
1994,6,22.4,31.7,14.3,16.9,28.1,9.6,26.9,32,20.3
1994,7,28.3,35.6,22.6,22.2,32.2,13.6,29.4,33.7,25
1994,8,28.9,39.1,20.4,24.8,36.2,17.6,28.7,32.8,23.2
1994,9,24.8,32.9,18.3,19.8,30.1,11.8,26.8,32,22.8
1994,10,20.2,27.9,11.9,12.4,22.5,1.6,24.4,30.1,20.2
1994,11,13.4,23.9,4.5,5.4,17,-4.1,22.5,27.7,17.6
1994,12,9,17.7,1.4,-1.4,12.1,-10.2,20.2,26.2,14.2
1995,1,6.3,16.1,-1.2,-3.3,7.1,-14.1,16.4,24.8,10.3
1995,2,6.5,13.9,0.1,-2.3,5.3,-12.5,15.7,22.5,9.4
1995,3,8.9,19.9,1,0.9,11.3,-10.4,17.6,25.3,9.1
1995,4,15,25.5,4.9,7.3,22.6,-0.3,22.1,29,13.1
1995,5,19.1,26.7,12.9,13.3,25.1,5.3,23.3,30.5,17.4
1995,6,20.4,28.8,14.9,15.6,25.1,9.1,26.3,31.1,22.1
1995,7,26.4,35.9,19.4,21.5,32.5,13.5,28.5,33.3,25
1995,8,29.4,36.4,24.5,21.3,28.2,16.2,29,33.3,24.6
1995,9,23.7,35.8,15.1,17.4,26.9,9,27.8,32.9,22.1
1995,10,19.5,27.8,12.3,13.1,22.5,4,26.1,31.4,21.4
1995,11,12.7,23.9,5.2,5.5,17,-2,21,28.1,12.9
1995,12,7.7,16.7,-0.6,0,8.2,-7.9,17.8,24.3,12.9
1996,1,6.6,19.9,-0.4,-3.7,5.2,-12.5,17.1,24.6,11.3
1996,2,5.4,20.9,-1.5,-3.4,9.9,-14.4,16.3,24.6,8.5
1996,3,9.2,23.1,0.7,0.5,10.2,-10,19,26.6,11.6
1996,4,12.7,26.2,3.7,5.8,21.9,-1.5,19.5,26.5,13.6
1996,5,18.1,30.5,10.5,10.5,29.1,2.9,22.4,26.9,18.5
1996,6,22.6,31.8,15.7,15.7,26.6,6.1,27.5,32.3,20.9
1996,7,26.2,34.8,17.2,20.4,30.3,11.5,29.4,33.9,25.2
1996,8,26,38.7,17.9,20.9,31.9,13.2,28.1,33.3,24.8
1996,9,22.4,34.5,14.8,18.2,26.6,9.4,27.9,33.2,23.8
1996,10,18,27.2,9.3,11.5,21,-0.1,24.6,29.7,19.8
1996,11,13.2,24.2,5.8,4.1,15.2,-5.2,23.2,29.2,16.4
1996,12,9.3,18.6,2.4,-0.7,9.2,-10.1,18.1,24,12
1997,1,6.8,16.4,-2.1,-2.5,6,-10.8,16.5,24,11.4
1997,2,7,18,-1.4,-1.8,9.6,-7.5,17.1,24.6,9.3
1997,3,10.5,25.1,3,0.2,14.1,-9.3,19.9,25.5,12.9
1997,4,15.2,27.2,8,7.2,23.1,-1.7,22,28.9,15.7
1997,5,19.2,27.9,11.3,11.9,26.1,3.1,24.6,29.7,18.1
1997,6,22.7,32.8,13.4,15.8,30.2,8.2,26.1,30.9,20.1
1997,7,26.6,37.7,19.4,22,32.6,14,28.4,32.6,24.4
1997,8,27,34.5,19.4,20.5,31.4,13.5,27.8,32.8,24.2
1997,9,22.9,32.9,15.4,17.1,27.8,8.3,26.8,32.1,19.5
1997,10,18.7,27.1,9.6,10.8,21.4,0.6,24.3,29,18.5
1997,11,14.3,24.4,6.9,7.1,17.6,0.1,22.6,28.3,17.5
1997,12,9.2,17.6,2.5,0.4,11.1,-7.1,19.7,26.1,14
1998,1,5.3,13.6,-0.8,-5.9,2.7,-14.5,18.7,25.9,10.9
1998,2,7,23.1,0.5,-3.6,5,-15.8,18.5,25.5,12
1998,3,10.1,24.5,0.7,1.6,14.7,-7.7,20.2,28.1,13.1
1998,4,16.3,27.1,2.5,9,28,-2.1,23.5,29.1,15.9
1998,5,20.5,29.3,10.6,13.5,27.9,2.4,26.1,30.6,21.5
1998,6,21.5,33.7,13.8,15.5,27.3,7.8,27.4,32.7,21.2
1998,7,25.3,36.1,17,20.3,31.5,12.6,29.5,33.4,24.1
1998,8,27.2,35.5,20.3,21.1,28.7,14.6,30.1,34.7,25.8
1998,9,24.4,32.8,17.7,19.2,29.8,9.7,28.4,32.7,24.9
1998,10,20.1,31.9,11.9,13.2,23.9,5.5,26.7,31.5,22.7
1998,11,13.9,25,5.3,3.2,17.6,-6.2,23,29.6,17.4
1998,12,9,18.4,2.4,-1.7,8.8,-8.9,20.2,26.4,14.7
1999,1,6.6,16.4,-0.9,-3.2,5.4,-13.5,18,23.6,13.3
1999,2,6.7,21.3,-1.4,-3.6,9.2,-12.5,17.4,25.7,10.1
1999,3,10.1,20.3,2.1,-0.5,12.8,-8.7,20.9,28.2,14.5
1999,4,15,24,5.4,6.9,23.8,-3.9,21.7,27,15.7
